year,year_Text,total_Lower,total_Upper,UNProj_Lower,UNProj_Median,UNProj_Upper,Biraben,Durand_Lower,Durand_Upper,Haub,McEvedy_Jones,Thomlinson_Lower,Thomlinson_Upper,UN1973_Lower,UN1973_Upper,UN1999,USCB,,,
-10000,10000 BC,1.00,10.00,,,, , , , ,4.00,1.00,10.00, , , , ,,,
-8000,8000 BC,5.00, ,,,, , , ,5.00, , , , , , , ,,,
-6500,6500 BC,5.00,10.00,,,, , , , , , , ,5.00,10.00, , ,,,
-5000,5000 BC,5.00,20.00,,,, , , , ,5.00,5.00,20.00, , , , ,,,
-4000,4000 BC,7.00, ,,,, , , , ,7.00, , , , , , ,,,
-3000,3000 BC,14.00, ,,,, , , , ,14.00, , , , , , ,,,
-2000,2000 BC,27.00, ,,,, , , , ,27.00, , , , , , ,,,
-1000,1000 BC,50.00, ,,,, , , , ,50.00, , , , , , ,,,
-500,500 BC,100.00, ,,,, , , , ,100.00, , , , , , ,,,
-400,400 BC,162.00, ,,,,162.00, , , , , , , , , , ,,,
-200,200 BC,150.00,231.00,,,,231.00, , , ,150.00, , , , , , ,,,
1,1 AD,170.00,400.00,,,,255.00,270.00,330.00,300.00,170.00,200.00, ,200.00,400.00,300.00, ,,,
200,200 AD,190.00,256.00,,,,256.00, , , ,190.00, , , , , , ,,,
400,400 AD,190.00,206.00,,,,206.00, , , ,190.00, , , , , , ,,,
500,500 AD,190.00,206.00,,,,206.00, , , ,190.00, , , , , , ,,,
600,600 AD,200.00,206.00,,,,206.00, , , ,200.00, , , , , , ,,,
700,700 AD,207.00,210.00,,,,207.00, , , ,210.00, , , , , , ,,,
800,800 AD,220.00,224.00,,,,224.00, , , ,220.00, , , , , , ,,,
900,900 AD,226.00,240.00,,,,226.00, , , ,240.00, , , , , , ,,,
1000,1000 AD,254.00,345.00,,,,254.00,275.00,345.00, ,265.00, , , , ,310.00, ,,,
1100,1100 AD,301.00,320.00,,,,301.00, , , ,320.00, , , , , , ,,,
1200,1200 AD,360.00,450.00,,,,400.00, , ,450.00,360.00, , , , , , ,,,
1250,1250 AD,400.00,416.00,,,,416.00, , , , , , , , ,400.00, ,,,
1300,1300 AD,360.00,432.00,,,,432.00, , , ,360.00,400.00, , , , , ,,,
1340,1340 AD,443.00, ,,,,443.00, , , , , , , , , , ,,,
1400,1400 AD,350.00,374.00,,,,374.00, , , ,350.00, , , , , , ,,,
1500,1500 AD,425.00,540.00,,,,460.00,440.00,540.00, ,425.00, , , , ,500.00, ,,,
1600,1600 AD,545.00,579.00,,,,579.00, , , ,545.00, , , , , , ,,,
1650,1650 AD,470.00,545.00,,,, , , ,500.00,545.00,500.00, ,470.00,545.00, , ,,,
1700,1700 AD,600.00,679.00,,,,679.00, , , ,610.00,600.00, , , , , ,,,
1750,1750 AD,629.00,961.00,,,,770.00,735.00,805.00,795.00,720.00,700.00, ,629.00,961.00,790.00, ,,,
1800,1800 AD,813.00,1125.00,,,,954.00, , , ,900.00,900.00, ,813.00,1125.00,980.00, ,,,
1850,1850 AD,1128.00,1402.00,,,,1241.00, , ,1265.00,1200.00,1200.00, ,1128.00,1402.00,1260.00, ,,,
1900,1900 AD,1550.00,1762.00,,,,1633.00,1650.00,1710.00,1656.00,1625.00,1600.00, ,1550.00,1762.00,1650.00, ,,,
1910,1910 AD,1750.00, ,,,, , , , , , , , , ,1750.00, ,,,
1920,1920 AD,1860.00, ,,,, , , , , , , , , ,1860.00, ,,,
1930,1930 AD,2070.00, ,,,, , , , , , , , , ,2070.00, ,,,
1940,1940 AD,2300.00, ,,,, , , , , , , , , ,2300.00, ,,,
1950,1950 AD,2400.00,2558.00,,,,2527.00, , ,2516.00,2500.00,2400.00, ,2486.00, ,2520.00,2558.00,,,
1950,1950 AD,2557.63,2557.63,,,,,,,,,,,,,,,,,
1951,1951 AD,2594.94,2594.94,,,,,,,,,,,,,,,,,
1952,1952 AD,2636.77,2636.77,,,,,,,,,,,,,,,,,
1953,1953 AD,2682.05,2682.05,,,,,,,,,,,,,,,,,
1954,1954 AD,2730.23,2730.23,,,,,,,,,,,,,,,,,
1955,1955 AD,2782.10,2782.10,,,,,,,,,,,,,,,,,
1956,1956 AD,2835.30,2835.30,,,,,,,,,,,,,,,,,
1957,1957 AD,2891.35,2891.35,,,,,,,,,,,,,,,,,
1958,1958 AD,2948.14,2948.14,,,,,,,,,,,,,,,,,
1959,1959 AD,3000.72,3000.72,,,,,,,,,,,,,,,,,
1960,1960 AD,3043.00,3043.00,,,,,,,,,,,,,,,,,
1961,1961 AD,3083.97,3083.97,,,,,,,,,,,,,,,,,
1962,1962 AD,3140.09,3140.09,,,,,,,,,,,,,,,,,
1963,1963 AD,3209.83,3209.83,,,,,,,,,,,,,,,,,
1964,1964 AD,3281.20,3281.20,,,,,,,,,,,,,,,,,
1965,1965 AD,3350.43,3350.43,,,,,,,,,,,,,,,,,
1966,1966 AD,3420.68,3420.68,,,,,,,,,,,,,,,,,
1967,1967 AD,3490.33,3490.33,,,,,,,,,,,,,,,,,
1968,1968 AD,3562.31,3562.31,,,,,,,,,,,,,,,,,
1969,1969 AD,3637.16,3637.16,,,,,,,,,,,,,,,,,
1970,1970 AD,3712.70,3712.70,,,,,,,,,,,,,,,,,
1971,1971 AD,3790.33,3790.33,,,,,,,,,,,,,,,,,
1972,1972 AD,3866.56,3866.56,,,,,,,,,,,,,,,,,
1973,1973 AD,3942.09,3942.09,,,,,,,,,,,,,,,,,
1974,1974 AD,4016.59,4016.59,,,,,,,,,,,,,,,,,
1975,1975 AD,4088.05,4088.05,,,,,,,,,,,,,,,,,
1976,1976 AD,4158.10,4158.10,,,,,,,,,,,,,,,,,
1977,1977 AD,4228.88,4228.88,,,,,,,,,,,,,,,,,
1978,1978 AD,4299.74,4299.74,,,,,,,,,,,,,,,,,
1979,1979 AD,4373.42,4373.42,,,,,,,,,,,,,,,,,
1980,1980 AD,4444.50,4444.50,,,,,,,,,,,,,,,,,
1981,1981 AD,4525.89,4525.89,,,,,,,,,,,,,,,,,
1982,1982 AD,4606.26,4606.26,,,,,,,,,,,,,,,,,
1983,1983 AD,4687.63,4687.63,,,,,,,,,,,,,,,,,
1984,1984 AD,4766.67,4766.67,,,,,,,,,,,,,,,,,
1985,1985 AD,4848.78,4848.78,,,,,,,,,,,,,,,,,
1986,1986 AD,4933.05,4933.05,,,,,,,,,,,,,,,,,
1987,1987 AD,5020.00,5020.00,,,,,,,,,,,,,,,,,
1988,1988 AD,5107.81,5107.81,,,,,,,,,,,,,,,,,
1989,1989 AD,5195.18,5195.18,,,,,,,,,,,,,,,,,
1990,1990 AD,5283.25,5283.25,,,,,,,,,,,,,,,,,
